epoch,step,train_loss,train_loss_init,train_loss_vb
0,49,0.5218703746795654,0.0,0.5218703746795654
0,99,0.49146974086761475,0.0,0.49146974086761475
0,149,0.5006008744239807,0.0,0.5006008744239807
0,199,0.5243593454360962,0.0,0.5243593454360962
1,249,0.5356200337409973,0.0,0.5356200337409973
1,299,0.48005005717277527,0.0,0.48005005717277527
1,349,0.4871903657913208,0.0,0.4871903657913208
1,399,0.5062034130096436,0.0,0.5062034130096436
1,449,0.4835502803325653,0.0,0.4835502803325653
2,499,0.5077719688415527,0.0,0.5077719688415527
2,549,0.5205207467079163,0.0,0.5205207467079163
2,599,0.49376147985458374,0.0,0.49376147985458374
2,649,0.5151877999305725,0.0,0.5151877999305725
2,699,0.5025454163551331,0.0,0.5025454163551331
3,749,0.5074975490570068,0.0,0.5074975490570068
3,799,0.4896736145019531,0.0,0.4896736145019531
3,849,0.5061771869659424,0.0,0.5061771869659424
3,899,0.525559663772583,0.0,0.525559663772583
4,949,0.49312373995780945,0.0,0.49312373995780945
4,999,0.4851686656475067,0.0,0.4851686656475067
4,1049,0.48823103308677673,0.0,0.48823103308677673
4,1099,0.508823037147522,0.0,0.508823037147522
4,1149,0.5037736892700195,0.0,0.5037736892700195
5,1199,0.5059411525726318,0.0,0.5059411525726318
5,1249,0.5028846859931946,0.0,0.5028846859931946
5,1299,0.4902389943599701,0.0,0.4902389943599701
5,1349,0.5174918174743652,0.0,0.5174918174743652
5,1399,0.5095582008361816,0.0,0.5095582008361816
6,1449,0.5129668116569519,0.0,0.5129668116569519
6,1499,0.4859224855899811,0.0,0.4859224855899811
6,1549,0.5044055581092834,0.0,0.5044055581092834
6,1599,0.4963594973087311,0.0,0.4963594973087311
7,1649,0.5082610845565796,0.0,0.5082610845565796
7,1699,0.46560338139533997,0.0,0.46560338139533997
7,1749,0.5167590379714966,0.0,0.5167590379714966
7,1799,0.49654462933540344,0.0,0.49654462933540344
7,1849,0.5062718391418457,0.0,0.5062718391418457
8,1899,0.5189781785011292,0.0,0.5189781785011292
8,1949,0.5154121518135071,0.0,0.5154121518135071
8,1999,0.4865714907646179,0.0,0.4865714907646179
8,2049,0.5249533653259277,0.0,0.5249533653259277
8,2099,0.48354780673980713,0.0,0.48354780673980713
9,2149,0.5044916272163391,0.0,0.5044916272163391
9,2199,0.523219883441925,0.0,0.523219883441925
9,2249,0.5060315728187561,0.0,0.5060315728187561
9,2299,0.4925154447555542,0.0,0.4925154447555542
